url,size,startday,endday,bname,lat,lng,name
https://geofukui.github.io/jiban-opendata/data/18000230960902056/DATA/BED0003.XML,37530,2009-07-27,2010-03-25,BV-3,35.895158055555555,136.2912475,道路改良工事(経済対策交付金)測量・調査・設計業務委託
https://geofukui.github.io/jiban-opendata/data/18000230960902056/DATA/BED0002.XML,32529,2009-07-27,2010-03-25,BV-2,35.895334166666665,136.2884475,道路改良工事(経済対策交付金)測量・調査・設計業務委託
https://geofukui.github.io/jiban-opendata/data/18000230960902056/DATA/BED0001.XML,49540,2009-07-27,2010-03-25,BV-1,35.89523861111111,136.28716,道路改良工事(経済対策交付金)測量・調査・設計業務委託
https://geofukui.github.io/jiban-opendata/data/18000230960902056/DATA/BED0004.XML,31177,2009-07-27,2010-03-25,BV-4,35.89500388888889,136.29159083333334,道路改良工事(経済対策交付金)測量・調査・設計業務委託
https://geofukui.github.io/jiban-opendata/data/18000230960801755/DATA/BED0003.XML,28671,2008-12-22,2009-03-25,B-3,35.92959827777778,136.15222975,都市公園事業　地質調査設計業務委託
https://geofukui.github.io/jiban-opendata/data/18000230960801755/DATA/BED0002.XML,31772,2008-12-22,2009-03-25,B-2,35.93004244444444,136.15380094444444,都市公園事業　地質調査設計業務委託
https://geofukui.github.io/jiban-opendata/data/18000230960801755/DATA/BED0001.XML,49958,2008-12-22,2009-03-25,B-1,35.929740583333334,136.15445494444444,都市公園事業　地質調査設計業務委託
https://geofukui.github.io/jiban-opendata/data/18000230960801755/DATA/BED0011.XML,33270,2008-12-22,2009-03-25,B-13,35.9298915,136.15412794444444,都市公園事業　地質調査設計業務委託
https://geofukui.github.io/jiban-opendata/data/18000230960801755/DATA/BED0005.XML,21378,2008-12-22,2009-03-25,B-5,35.92836111111111,136.15179780555556,都市公園事業　地質調査設計業務委託
https://geofukui.github.io/jiban-opendata/data/18000230960801755/DATA/BED0004.XML,24227,2008-12-22,2009-03-25,B-4,35.92947502777778,136.1527761111111,都市公園事業　地質調査設計業務委託
https://geofukui.github.io/jiban-opendata/data/18000230960801755/DATA/BED0010.XML,21863,2008-12-22,2009-03-25,B-10,35.927097555555555,136.1526001388889,都市公園事業　地質調査設計業務委託
https://geofukui.github.io/jiban-opendata/data/18000230960801755/DATA/BED0006.XML,30739,2008-12-22,2009-03-25,B-6,35.92822813888888,136.1526586388889,都市公園事業　地質調査設計業務委託
https://geofukui.github.io/jiban-opendata/data/18000230960801755/DATA/BED0007.XML,37739,2008-12-22,2009-03-25,B-7,35.92794830555555,136.15382069444445,都市公園事業　地質調査設計業務委託
https://geofukui.github.io/jiban-opendata/data/18000230960801755/DATA/BED0009.XML,25361,2008-12-22,2009-03-25,B-9,35.92716258333333,136.1527316111111,都市公園事業　地質調査設計業務委託
https://geofukui.github.io/jiban-opendata/data/18000230960801755/DATA/BED0008.XML,28972,2008-12-22,2009-03-25,B-8,35.927742527777774,136.15441580555557,都市公園事業　地質調査設計業務委託
https://geofukui.github.io/jiban-opendata/data/18000210671800637/DATA/BED0001.XML,66872,2018-07-05,2018-07-12,H30-BV1,35.783322222222225,136.09980000000002,平成30年度 復旧治山工事 治山調査・測量・設計業務委託
https://geofukui.github.io/jiban-opendata/data/18000230810901865/DATA/BED0002.XML,19005,2009-07-13,2009-11-30,21B-2,36.10545833333333,136.57801388888888,(県単)道路防災対策工事測量・調査・設計業務委託
https://geofukui.github.io/jiban-opendata/data/18000230810901865/DATA/BED0001.XML,19528,2009-07-13,2009-11-30,21B-1,36.10543055555556,136.57794444444443,(県単)道路防災対策工事測量・調査・設計業務委託
https://geofukui.github.io/jiban-opendata/data/18000231551200722/DATA/BED0002.XML,51886,2012-07-06,2012-07-09,B-2,35.49247777777778,135.6262027777778,測量調査設計業務委託　犬見その1
https://geofukui.github.io/jiban-opendata/data/18000231551200722/DATA/BED0001.XML,48456,2012-07-03,2012-07-05,B-1,35.492375,135.62645555555557,測量調査設計業務委託　犬見その1
